english,czech
to take,brát
I take,beru
you take,bereš
he/she/it takes,bere
we take,bereme
you all take,berete
they take,berou
to grow,růst
I grow ,rostu
you grow,rosteš
he/she/it grows,roste
we grow,rosteme
you all grow,rostete
they grow,rostou
to decide,rozhodnout se
I decide,rozhodnu se
you decide,rozhodneš se
he/she/it decides,rozhodne se
we decide,rozhodneme se
you all decide,rozhodnete se
they decide,rozhodnou se
to read,číst
I read,čtu
you read,čteš
he/she/it reads,čte
we read,čteme
you all read,čtete
they read,čtou
to return,vrátit
I return,vrátím
you return,vrátíš
he/she/it returns,vrátí
we return,vrátíme
you all return,vrátíte
they return,vrátí
to write,psát
I write,píši
you write,píšeš
he/she/it writes,píše
we write,píšeme
you all write,píšete
they write,píší
to try,snažit se
I try,snažím se
you try,snažíš se
he/she/it tries,snaží se
we try,snažíme se
you all try,snažíte se
they try,snaží se
to know,znát
I know,znám
you know,znáš
he/she/it knows,zná
we know,známe
you all know,znáte
they know,znají
to know how to,umět
I know how to,umím
you know how to,umíš
he/she/it knows how to,umí
we know how to,umíme
you all know how to,umíte
they know how to,umí